site_id,Day,Month,Year,survey_date,surveyor1,pit_tag_id,pit_tag_status,frog_sex,frog_state,frog_location,total_weight,bag_weight,frog_weight,frog_svl,swab_id,swab_id_full,swabber_name,frog_comments,ZE,lifestage,gosner_stage
14221,17,7,2014,7/17/14,Kauffman,1.18001E+11,NA,M,Healthy,in_lake,13,2,11,43,2187,DESO2187,Kauffman,NA,50.24,Adult,NA
14221,18,7,2014,7/18/14,Knapp,9.82E+14,Y,F,Healthy,in_lake,11,2,9,43,2123,DESO2123,Knapp,NA,34.48,Adult,NA
14221,18,7,2014,7/18/14,Knapp,9.82E+14,Y,F,Healthy,fringing_habitat,11,2,9,43,2254,DESO2254,Ellison,NA,0,Adult,NA
14221,18,7,2014,7/18/14,Knapp,9.82E+14,Y,F,Healthy,fringing_habitat,11,2,9,43,2134,DESO2134,Knapp,NA,0,Adult,NA
14221,6,8,2014,8/6/14,Kauffman,9.82E+14,Y,F,Healthy,fringing_habitat,12,2,10,43,2161,DESO2161,Kauffman,NA,16.72,Adult,NA
14221,6,8,2014,8/6/14,Kauffman,9.82E+14,Y,F,Healthy,fringing_habitat,11,2,9,43,2244,DESO2244,Kauffman,NA,3.36,Adult,NA
14221,6,8,2014,8/6/14,Kauffman,9.00043E+14,Y,M,Healthy,in_lake,12,2,10,43,2247,DESO2247,Kauffman,NA,23.84,Adult,NA
14221,6,8,2014,8/6/14,Kauffman,9.82E+14,Y,F,Healthy,fringing_habitat,12,2,10,43,2350,DESO2350,Kauffman,NA,5.096,Adult,NA
14221,7,8,2014,8/7/14,Knapp,9.00043E+14,Y,M,Healthy,fringing_habitat,11,2,9,43,2285,DESO2285,Ellison,NA,12.64,Adult,NA
14221,7,8,2014,8/7/14,Knapp,9.00043E+14,Y,M,Healthy,fringing_habitat,10,2,8,43,2334,DESO2334,Ellison,NA,0,Adult,NA
14309,6,8,2014,8/6/14,Knapp,9.00043E+14,Y,M,Healthy,fringing_habitat,11,2,9,43,2266,DESO2266,Knapp,NA,748.8,Adult,NA
14309,6,8,2014,8/6/14,Knapp,9.00043E+14,Y,M,Healthy,outlet,12,2,10,43,2150,DESO2150,Atkinson,NA,200.8,Adult,NA
14309,7,8,2014,8/7/14,Kauffman,1.18001E+11,NA,F,Healthy,inlet,12,2,10,43,2381,DESO2381,Atkinson,NA,0,Adult,NA
54962,9,9,2014,9/9/14,Knapp,9.00043E+14,Y,M,Healthy,in_lake,11,2,9,43,2530,DESO2530,Atkinson,NA,924.8,Adult,NA
14309,10,9,2014,9/10/14,Kauffman,9.82E+14,Y,F,Healthy,fringing_habitat,11,2,9,43,2682,DESO2682,Kauffman,NA,903.2,Adult,NA
14309,10,9,2014,9/10/14,Kauffman,9.82E+14,Y,F,Healthy,fringing_habitat,13,2,11,43,2534,DESO2534,Atkinson,NA,0,Adult,NA
14309,11,9,2014,9/11/14,Knapp,9.00043E+14,Y,F,Healthy,inlet,10,2,8,43,2496,DESO2496,Knapp,NA,0,Adult,NA
14309,11,9,2014,9/11/14,Knapp,9.00043E+14,Y,F,Healthy,in_lake,10,2,8,43,2513,DESO2513,Knapp,NA,0,Adult,NA
14221,9,9,2014,9/9/14,Kauffman,9.82E+14,Y,M,Healthy,fringing_habitat,11,2,9,43,2659,DESO2659,Kauffman,NA,59.04,Adult,NA
14221,9,9,2014,9/9/14,Kauffman,9.82E+14,Y,M,Healthy,fringing_habitat,13,2,11,43,2662,DESO2662,Kauffman,NA,0.4432,Adult,NA
14221,9,9,2014,9/9/14,Kauffman,9.82E+14,Y,F,Healthy,fringing_habitat,10,2,8,43,2307,DESO2307,Ellison,NA,0,Adult,NA
14221,10,9,2014,9/10/14,Knapp,9.00043E+14,Y,M,Healthy,in_lake,11,2,9,43,2394,DESO2394,Knapp,PIT tag not inserted,98.4,Adult,NA
14221,10,9,2014,9/10/14,Knapp,9.00043E+14,Y,M,Healthy,in_lake,10,2,8,43,2475,DESO2475,Knapp,NA,12,Adult,NA
